t,v
0,-0
1e-05,-0
2e-05,0.1
3e-05,0.199
4e-05,0.297
5e-05,0.394
6e-05,0.49
7e-05,0.585001
8e-05,0.679003
9e-05,0.772007
0.0001,0.864012
0.00011,0.955021
0.00012,1.04503
0.00013,1.13405
0.00014,1.22207
0.00015,1.3091
0.00016,1.39513
0.00017,1.48018
0.00018,1.56423
0.00019,1.6473
0.0002,1.72938
0.00021,1.81047
0.00022,1.89058
0.00023,1.96971
0.00024,2.04785
0.00025,2.12502
0.00026,2.20121
0.00027,2.27643
0.00028,2.35067
0.00029,2.42395
0.0003,2.49626
0.00031,2.5676
0.00032,2.63798
0.00033,2.70739
0.00034,2.77586
0.00035,2.84336
0.00036,2.90991
0.00037,2.97551
0.00038,3.04017
0.00039,3.10388
0.0004,3.16665
0.00041,3.22848
0.00042,3.28938
0.00043,3.34934
0.00044,3.40838
0.00045,3.46649
0.00046,3.52368
0.00047,3.57995
0.00048,3.63531
0.00049,3.68975
0.0005,3.74329
0.00051,3.79592
0.00052,3.84765
0.00053,3.89849
0.00054,3.94843
0.00055,3.99748
0.00056,4.04565
0.00057,4.09293
0.00058,4.13934
0.00059,4.18487
0.0006,4.22954
0.00061,4.27334
0.00062,4.31628
0.00063,4.35836
0.00064,4.39959
0.00065,4.43997
0.00066,4.47951
0.00067,4.51821
0.00068,4.55607
0.00069,4.5931
0.0007,4.62931
0.00071,4.6647
0.00072,4.69927
0.00073,4.73302
0.00074,4.76597
0.00075,4.79812
0.00076,4.82947
0.00077,4.86002
0.00078,4.88979
0.00079,4.91877
0.0008,4.94698
0.00081,4.97441
0.00082,5.00107
0.00083,5.02697
0.00084,5.0521
0.00085,5.07649
0.00086,5.10012
0.00087,5.12301
0.00088,5.14517
0.00089,5.16658
0.0009,5.18727
0.00091,5.20724
0.00092,5.22649
0.00093,5.24502
0.00094,5.26285
0.00095,5.27997
0.00096,5.2964
0.00097,5.31213
0.00098,5.32718
0.00099,5.34154
0.001,5.35523
0.00101,5.36825
0.00102,5.3806
0.00103,5.3923
0.00104,5.40333
0.00105,5.41372
0.00106,5.42346
0.00107,5.43257
0.00108,5.44104
0.00109,5.44888
0.0011,5.4561
0.00111,5.4627
0.00112,5.4687
0.00113,5.47408
0.00114,5.47887
0.00115,5.48305
0.00116,5.48665
0.00117,5.48967
0.00118,5.49211
0.00119,5.49397
0.0012,5.49526
0.00121,5.496
0.00122,5.49617
0.00123,5.4958
0.00124,5.49488
0.00125,5.49342
0.00126,5.49142
0.00127,5.48889
0.00128,5.48584
0.00129,5.48228
0.0013,5.4782
0.00131,5.47361
0.00132,5.46852
0.00133,5.46293
0.00134,5.45685
0.00135,5.45029
0.00136,5.44325
0.00137,5.43573
0.00138,5.42774
0.00139,5.41929
0.0014,5.41038
0.00141,5.40102
0.00142,5.39121
0.00143,5.38096
0.00144,5.37027
0.00145,5.35915
0.00146,5.34761
0.00147,5.33564
0.00148,5.32326
0.00149,5.31047
0.0015,5.29728
0.00151,5.28368
0.00152,5.2697
0.00153,5.25532
0.00154,5.24056
0.00155,5.22542
0.00156,5.20991
0.00157,5.19404
0.00158,5.1778
0.00159,5.1612
0.0016,5.14425
0.00161,5.12696
0.00162,5.10932
0.00163,5.09135
0.00164,5.07304
0.00165,5.05441
0.00166,5.03546
0.00167,5.0162
0.00168,4.99662
0.00169,4.97673
0.0017,4.95655
0.00171,4.93607
0.00172,4.9153
0.00173,4.89424
0.00174,4.8729
0.00175,4.85129
0.00176,4.8294
0.00177,4.80725
0.00178,4.78484
0.00179,4.76217
0.0018,4.73925
0.00181,4.71608
0.00182,4.69267
0.00183,4.66902
0.00184,4.64514
0.00185,4.62103
0.00186,4.5967
0.00187,4.57215
0.00188,4.54738
0.00189,4.52241
0.0019,4.49723
0.00191,4.47185
0.00192,4.44627
0.00193,4.4205
0.00194,4.39455
0.00195,4.36841
0.00196,4.3421
0.00197,4.31561
0.00198,4.28895
0.00199,4.26212
0.002,4.23514
0.00201,4.208
0.00202,4.18071
0.00203,4.15327
0.00204,4.12568
0.00205,4.09796
0.00206,4.0701
0.00207,4.04211
0.00208,4.01399
0.00209,3.98575
0.0021,3.9574
0.00211,3.92892
0.00212,3.90034
0.00213,3.87164
0.00214,3.84285
0.00215,3.81395
0.00216,3.78497
0.00217,3.75588
0.00218,3.72671
0.00219,3.69746
0.0022,3.66813
0.00221,3.63872
0.00222,3.60924
0.00223,3.57969
0.00224,3.55007
0.00225,3.52039
0.00226,3.49065
0.00227,3.46086
0.00228,3.43102
0.00229,3.40113
0.0023,3.3712
0.00231,3.34122
0.00232,3.31121
0.00233,3.28116
0.00234,3.25109
0.00235,3.22098
0.00236,3.19085
0.00237,3.1607
0.00238,3.13054
0.00239,3.10035
0.0024,3.07016
0.00241,3.03996
0.00242,3.00976
0.00243,2.97955
0.00244,2.94934
0.00245,2.91914
0.00246,2.88894
0.00247,2.85876
0.00248,2.82859
0.00249,2.79843
0.0025,2.76829
0.00251,2.73818
0.00252,2.70808
0.00253,2.67802
0.00254,2.64798
0.00255,2.61798
0.00256,2.58801
0.00257,2.55809
0.00258,2.5282
0.00259,2.49835
0.0026,2.46855
0.00261,2.4388
0.00262,2.4091
0.00263,2.37945
0.00264,2.34986
0.00265,2.32032
0.00266,2.29085
0.00267,2.26144
0.00268,2.23209
0.00269,2.20281
0.0027,2.1736
0.00271,2.14446
0.00272,2.1154
0.00273,2.08641
0.00274,2.0575
0.00275,2.02867
0.00276,1.99993
0.00277,1.97127
0.00278,1.94269
0.00279,1.9142
0.0028,1.88581
0.00281,1.85751
0.00282,1.8293
0.00283,1.80118
0.00284,1.77317
0.00285,1.74526
0.00286,1.71744
0.00287,1.68973
0.00288,1.66213
0.00289,1.63463
0.0029,1.60725
0.00291,1.57997
0.00292,1.5528
0.00293,1.52575
0.00294,1.49882
0.00295,1.472
0.00296,1.4453
0.00297,1.41871
0.00298,1.39225
0.00299,1.36592
0.003,1.3397
0.00301,1.31362
0.00302,1.28766
0.00303,1.26182
0.00304,1.23612
0.00305,1.21055
0.00306,1.18511
0.00307,1.1598
0.00308,1.13463
0.00309,1.10959
0.0031,1.08469
0.00311,1.05993
0.00312,1.03531
0.00313,1.01083
0.00314,0.986486
0.00315,0.962288
0.00316,0.938233
0.00317,0.914322
0.00318,0.890556
0.00319,0.866937
0.0032,0.843465
0.00321,0.820141
0.00322,0.796965
0.00323,0.77394
0.00324,0.751065
0.00325,0.728341
0.00326,0.70577
0.00327,0.683351
0.00328,0.661086
0.00329,0.638976
0.0033,0.61702
0.00331,0.59522
0.00332,0.573576
0.00333,0.55209
0.00334,0.53076
0.00335,0.509589
0.00336,0.488577
0.00337,0.467723
0.00338,0.447029
0.00339,0.426496
0.0034,0.406123
0.00341,0.385911
0.00342,0.365861
0.00343,0.345972
0.00344,0.326246
0.00345,0.306683
0.00346,0.287282
0.00347,0.268045
0.00348,0.248972
0.00349,0.230062
0.0035,0.211317
0.00351,0.192736
0.00352,0.17432
0.00353,0.156069
0.00354,0.137982
0.00355,0.120061
0.00356,0.102306
0.00357,0.0847158
0.00358,0.0672914
0.00359,0.0500328
0.0036,0.0329401
0.00361,0.0160133
0.00362,-0.000747536
0.00363,-0.0173424
0.00364,-0.0337712
0.00365,-0.0500339
0.00366,-0.0661307
0.00367,-0.0820615
0.00368,-0.0978264
0.00369,-0.113425
0.0037,-0.128859
0.00371,-0.144126
0.00372,-0.159228
0.00373,-0.174165
0.00374,-0.188936
0.00375,-0.203542
0.00376,-0.217983
0.00377,-0.23226
0.00378,-0.246372
0.00379,-0.260319
0.0038,-0.274103
0.00381,-0.287722
0.00382,-0.301178
0.00383,-0.314471
0.00384,-0.3276
0.00385,-0.340567
0.00386,-0.353372
0.00387,-0.366014
0.00388,-0.378495
0.00389,-0.390814
0.0039,-0.402972
0.00391,-0.414969
0.00392,-0.426806
0.00393,-0.438484
0.00394,-0.450002
0.00395,-0.46136
0.00396,-0.472561
0.00397,-0.483603
0.00398,-0.494487
0.00399,-0.505214
0.004,-0.515785
0.00401,-0.526199
0.00402,-0.536458
0.00403,-0.546561
0.00404,-0.55651
0.00405,-0.566304
0.00406,-0.575945
0.00407,-0.585433
0.00408,-0.594768
0.00409,-0.603952
0.0041,-0.612984
0.00411,-0.621865
0.00412,-0.630597
0.00413,-0.639179
0.00414,-0.647612
0.00415,-0.655896
0.00416,-0.664033
0.00417,-0.672024
0.00418,-0.679867
0.00419,-0.687566
0.0042,-0.695119
0.00421,-0.702528
0.00422,-0.709793
0.00423,-0.716916
0.00424,-0.723896
0.00425,-0.730735
0.00426,-0.737433
0.00427,-0.743991
0.00428,-0.750409
0.00429,-0.756689
0.0043,-0.762831
0.00431,-0.768836
0.00432,-0.774705
0.00433,-0.780438
0.00434,-0.786037
0.00435,-0.791501
0.00436,-0.796832
0.00437,-0.802031
0.00438,-0.807098
0.00439,-0.812034
0.0044,-0.81684
0.00441,-0.821517
0.00442,-0.826065
0.00443,-0.830486
0.00444,-0.83478
0.00445,-0.838948
0.00446,-0.84299
0.00447,-0.846909
0.00448,-0.850704
0.00449,-0.854376
0.0045,-0.857926
0.00451,-0.861356
0.00452,-0.864665
0.00453,-0.867856
0.00454,-0.870927
0.00455,-0.873882
0.00456,-0.876719
0.00457,-0.879441
0.00458,-0.882048
0.00459,-0.884541
0.0046,-0.886921
0.00461,-0.889189
0.00462,-0.891345
0.00463,-0.893391
0.00464,-0.895327
0.00465,-0.897155
0.00466,-0.898875
0.00467,-0.900487
0.00468,-0.901994
0.00469,-0.903396
0.0047,-0.904693
0.00471,-0.905887
0.00472,-0.906979
0.00473,-0.907969
0.00474,-0.908859
0.00475,-0.909649
0.00476,-0.91034
0.00477,-0.910933
0.00478,-0.911429
0.00479,-0.91183
0.0048,-0.912135
0.00481,-0.912346
0.00482,-0.912463
0.00483,-0.912488
0.00484,-0.912422
0.00485,-0.912265
0.00486,-0.912018
0.00487,-0.911683
0.00488,-0.91126
0.00489,-0.91075
0.0049,-0.910153
0.00491,-0.909472
0.00492,-0.908707
0.00493,-0.907858
0.00494,-0.906927
0.00495,-0.905914
0.00496,-0.904821
0.00497,-0.903648
0.00498,-0.902396
0.00499,-0.901067
0.005,-0.89966
0.00501,-0.898178
0.00502,-0.89662
0.00503,-0.894988
0.00504,-0.893283
0.00505,-0.891505
0.00506,-0.889656
0.00507,-0.887736
0.00508,-0.885747
0.00509,-0.883688
0.0051,-0.881562
0.00511,-0.879368
0.00512,-0.877108
0.00513,-0.874783
0.00514,-0.872393
0.00515,-0.86994
0.00516,-0.867424
0.00517,-0.864847
0.00518,-0.862208
0.00519,-0.859509
0.0052,-0.856751
0.00521,-0.853935
0.00522,-0.851061
0.00523,-0.84813
0.00524,-0.845144
0.00525,-0.842102
0.00526,-0.839007
0.00527,-0.835858
0.00528,-0.832657
0.00529,-0.829405
0.0053,-0.826101
0.00531,-0.822748
0.00532,-0.819346
0.00533,-0.815895
0.00534,-0.812397
0.00535,-0.808852
0.00536,-0.805262
0.00537,-0.801626
0.00538,-0.797947
0.00539,-0.794224
0.0054,-0.790458
0.00541,-0.786651
0.00542,-0.782802
0.00543,-0.778914
0.00544,-0.774986
0.00545,-0.77102
0.00546,-0.767015
0.00547,-0.762974
0.00548,-0.758896
0.00549,-0.754783
0.0055,-0.750635
0.00551,-0.746453
0.00552,-0.742238
0.00553,-0.73799
0.00554,-0.733711
0.00555,-0.7294
0.00556,-0.72506
0.00557,-0.720689
0.00558,-0.71629
0.00559,-0.711863
0.0056,-0.707409
0.00561,-0.702928
0.00562,-0.698421
0.00563,-0.693888
0.00564,-0.689332
0.00565,-0.684751
0.00566,-0.680147
0.00567,-0.675521
0.00568,-0.670873
0.00569,-0.666204
0.0057,-0.661515
0.00571,-0.656806
0.00572,-0.652078
0.00573,-0.647331
0.00574,-0.642567
0.00575,-0.637785
0.00576,-0.632987
0.00577,-0.628174
0.00578,-0.623345
0.00579,-0.618502
0.0058,-0.613644
0.00581,-0.608774
0.00582,-0.603891
0.00583,-0.598995
0.00584,-0.594089
0.00585,-0.589171
0.00586,-0.584243
0.00587,-0.579306
0.00588,-0.57436
0.00589,-0.569405
0.0059,-0.564442
0.00591,-0.559472
0.00592,-0.554495
0.00593,-0.549512
0.00594,-0.544523
0.00595,-0.53953
0.00596,-0.534532
0.00597,-0.529529
0.00598,-0.524524
0.00599,-0.519515
0.006,-0.514504
0.00601,-0.509492
0.00602,-0.504478
0.00603,-0.499463
0.00604,-0.494448
0.00605,-0.489433
0.00606,-0.484418
0.00607,-0.479405
0.00608,-0.474394
0.00609,-0.469385
0.0061,-0.464378
0.00611,-0.459375
0.00612,-0.454375
0.00613,-0.449379
0.00614,-0.444388
0.00615,-0.439402
0.00616,-0.434421
0.00617,-0.429446
0.00618,-0.424477
0.00619,-0.419516
0.0062,-0.414561
0.00621,-0.409614
0.00622,-0.404675
0.00623,-0.399744
0.00624,-0.394822
0.00625,-0.389909
0.00626,-0.385006
0.00627,-0.380113
0.00628,-0.375231
0.00629,-0.370359
0.0063,-0.365499
0.00631,-0.36065
0.00632,-0.355813
0.00633,-0.350988
0.00634,-0.346176
0.00635,-0.341377
0.00636,-0.336592
0.00637,-0.33182
0.00638,-0.327062
0.00639,-0.322318
0.0064,-0.31759
0.00641,-0.312876
0.00642,-0.308178
0.00643,-0.303495
0.00644,-0.298829
0.00645,-0.294178
0.00646,-0.289545
0.00647,-0.284928
0.00648,-0.280328
0.00649,-0.275746
0.0065,-0.271182
0.00651,-0.266636
0.00652,-0.262108
0.00653,-0.257599
0.00654,-0.253109
0.00655,-0.248637
0.00656,-0.244186
0.00657,-0.239754
0.00658,-0.235341
0.00659,-0.230949
0.0066,-0.226578
0.00661,-0.222227
0.00662,-0.217896
0.00663,-0.213587
0.00664,-0.209299
0.00665,-0.205033
0.00666,-0.200789
0.00667,-0.196566
0.00668,-0.192365
0.00669,-0.188187
0.0067,-0.184032
0.00671,-0.179899
0.00672,-0.175789
0.00673,-0.171702
0.00674,-0.167639
0.00675,-0.163598
0.00676,-0.159582
0.00677,-0.155589
0.00678,-0.151621
0.00679,-0.147676
0.0068,-0.143756
0.00681,-0.13986
0.00682,-0.135989
0.00683,-0.132142
0.00684,-0.128321
0.00685,-0.124524
0.00686,-0.120753
0.00687,-0.117006
0.00688,-0.113286
0.00689,-0.10959
0.0069,-0.105921
0.00691,-0.102277
0.00692,-0.0986584
0.00693,-0.0950662
0.00694,-0.0915001
0.00695,-0.0879601
0.00696,-0.0844464
0.00697,-0.080959
0.00698,-0.0774981
0.00699,-0.0740637
0.007,-0.0706558
0.00701,-0.0672747
0.00702,-0.0639202
0.00703,-0.0605926
0.00704,-0.0572919
0.00705,-0.0540181
0.00706,-0.0507714
0.00707,-0.0475517
0.00708,-0.0443591
0.00709,-0.0411937
0.0071,-0.0380555
0.00711,-0.0349446
0.00712,-0.031861
0.00713,-0.0288047
0.00714,-0.0257758
0.00715,-0.0227743
0.00716,-0.0198002
0.00717,-0.0168536
0.00718,-0.0139345
0.00719,-0.0110429
0.0072,-0.00817882
0.00721,-0.00534228
0.00722,-0.00253328
0.00723,0.00024816
0.00724,0.00300204
0.00725,0.00572836
0.00726,0.00842711
