t,v
0,0
1e-05,10
2e-05,9.9
3e-05,9.8
4e-05,9.70001
5e-05,9.60004
6e-05,9.5001
7e-05,9.4002
8e-05,9.30035
9e-05,9.20055
0.0001,9.10083
0.00011,9.00118
0.00012,8.90162
0.00013,8.80215
0.00014,8.70279
0.00015,8.60354
0.00016,8.50441
0.00017,8.40542
0.00018,8.30656
0.00019,8.20785
0.0002,8.1093
0.00021,8.01092
0.00022,7.9127
0.00023,7.81467
0.00024,7.71683
0.00025,7.61918
0.00026,7.52174
0.00027,7.42451
0.00028,7.3275
0.00029,7.23072
0.0003,7.13417
0.00031,7.03787
0.00032,6.94181
0.00033,6.84601
0.00034,6.75048
0.00035,6.65522
0.00036,6.56023
0.00037,6.46553
0.00038,6.37112
0.00039,6.277
0.0004,6.1832
0.00041,6.0897
0.00042,5.99652
0.00043,5.90366
0.00044,5.81113
0.00045,5.71893
0.00046,5.62708
0.00047,5.53557
0.00048,5.44441
0.00049,5.35362
0.0005,5.26318
0.00051,5.17312
0.00052,5.08343
0.00053,4.99412
0.00054,4.90519
0.00055,4.81666
0.00056,4.72851
0.00057,4.64077
0.00058,4.55344
0.00059,4.46651
0.0006,4.37999
0.00061,4.2939
0.00062,4.20823
0.00063,4.12298
0.00064,4.03817
0.00065,3.95379
0.00066,3.86985
0.00067,3.78636
0.00068,3.70331
0.00069,3.62072
0.0007,3.53858
0.00071,3.4569
0.00072,3.37569
0.00073,3.29494
0.00074,3.21466
0.00075,3.13485
0.00076,3.05552
0.00077,2.97667
0.00078,2.8983
0.00079,2.82042
0.0008,2.74303
0.00081,2.66613
0.00082,2.58973
0.00083,2.51382
0.00084,2.43841
0.00085,2.36351
0.00086,2.28911
0.00087,2.21521
0.00088,2.14183
0.00089,2.06896
0.0009,1.99661
0.00091,1.92477
0.00092,1.85345
0.00093,1.78265
0.00094,1.71237
0.00095,1.64262
0.00096,1.57339
0.00097,1.50469
0.00098,1.43653
0.00099,1.36889
0.001,1.30178
0.00101,1.23521
0.00102,1.16918
0.00103,1.10368
0.00104,1.03872
0.00105,0.974302
0.00106,0.910422
0.00107,0.847083
0.00108,0.784286
0.00109,0.722033
0.0011,0.660324
0.00111,0.59916
0.00112,0.538541
0.00113,0.478469
0.00114,0.418943
0.00115,0.359965
0.00116,0.301535
0.00117,0.243653
0.00118,0.18632
0.00119,0.129535
0.0012,0.0733004
0.00121,0.0176148
0.00122,-0.0375214
0.00123,-0.0921079
0.00124,-0.146145
0.00125,-0.199632
0.00126,-0.25257
0.00127,-0.304958
0.00128,-0.356798
0.00129,-0.408088
0.0013,-0.45883
0.00131,-0.509024
0.00132,-0.55867
0.00133,-0.607768
0.00134,-0.65632
0.00135,-0.704325
0.00136,-0.751785
0.00137,-0.798699
0.00138,-0.84507
0.00139,-0.890896
0.0014,-0.93618
0.00141,-0.980922
0.00142,-1.02512
0.00143,-1.06878
0.00144,-1.11191
0.00145,-1.15449
0.00146,-1.19654
0.00147,-1.23805
0.00148,-1.27902
0.00149,-1.31947
0.0015,-1.35938
0.00151,-1.39875
0.00152,-1.4376
0.00153,-1.47592
0.00154,-1.51372
0.00155,-1.55099
0.00156,-1.58773
0.00157,-1.62395
0.00158,-1.65965
0.00159,-1.69484
0.0016,-1.7295
0.00161,-1.76365
0.00162,-1.79728
0.00163,-1.8304
0.00164,-1.86301
0.00165,-1.89511
0.00166,-1.9267
0.00167,-1.95779
0.00168,-1.98837
0.00169,-2.01846
0.0017,-2.04804
0.00171,-2.07712
0.00172,-2.10571
0.00173,-2.13381
0.00174,-2.16141
0.00175,-2.18853
0.00176,-2.21516
0.00177,-2.2413
0.00178,-2.26696
0.00179,-2.29214
0.0018,-2.31684
0.00181,-2.34106
0.00182,-2.36481
0.00183,-2.38809
0.00184,-2.4109
0.00185,-2.43324
0.00186,-2.45512
0.00187,-2.47654
0.00188,-2.49749
0.00189,-2.51799
0.0019,-2.53804
0.00191,-2.55763
0.00192,-2.57677
0.00193,-2.59546
0.00194,-2.61371
0.00195,-2.63152
0.00196,-2.64889
0.00197,-2.66582
0.00198,-2.68232
0.00199,-2.69839
0.002,-2.71403
0.00201,-2.72924
0.00202,-2.74402
0.00203,-2.75839
0.00204,-2.77234
0.00205,-2.78587
0.00206,-2.79899
0.00207,-2.81171
0.00208,-2.82401
0.00209,-2.83591
0.0021,-2.84741
0.00211,-2.85851
0.00212,-2.86921
0.00213,-2.87952
0.00214,-2.88944
0.00215,-2.89898
0.00216,-2.90813
0.00217,-2.9169
0.00218,-2.92529
0.00219,-2.9333
0.0022,-2.94094
0.00221,-2.94821
0.00222,-2.95512
0.00223,-2.96166
0.00224,-2.96784
0.00225,-2.97366
0.00226,-2.97913
0.00227,-2.98425
0.00228,-2.98901
0.00229,-2.99343
0.0023,-2.99751
0.00231,-3.00125
0.00232,-3.00465
0.00233,-3.00771
0.00234,-3.01045
0.00235,-3.01285
0.00236,-3.01493
0.00237,-3.01669
0.00238,-3.01813
0.00239,-3.01926
0.0024,-3.02007
0.00241,-3.02057
0.00242,-3.02076
0.00243,-3.02065
0.00244,-3.02024
0.00245,-3.01953
0.00246,-3.01853
0.00247,-3.01723
0.00248,-3.01565
0.00249,-3.01378
0.0025,-3.01162
0.00251,-3.00919
0.00252,-3.00648
0.00253,-3.0035
0.00254,-3.00024
0.00255,-2.99672
0.00256,-2.99293
0.00257,-2.98888
0.00258,-2.98457
0.00259,-2.98001
0.0026,-2.97519
0.00261,-2.97013
0.00262,-2.96481
0.00263,-2.95926
0.00264,-2.95346
0.00265,-2.94742
0.00266,-2.94115
0.00267,-2.93465
0.00268,-2.92792
0.00269,-2.92096
0.0027,-2.91378
0.00271,-2.90638
0.00272,-2.89876
0.00273,-2.89092
0.00274,-2.88288
0.00275,-2.87462
0.00276,-2.86616
0.00277,-2.8575
0.00278,-2.84864
0.00279,-2.83958
0.0028,-2.83033
0.00281,-2.82088
0.00282,-2.81125
0.00283,-2.80143
0.00284,-2.79143
0.00285,-2.78124
0.00286,-2.77088
0.00287,-2.76035
0.00288,-2.74964
0.00289,-2.73877
0.0029,-2.72773
0.00291,-2.71652
0.00292,-2.70516
0.00293,-2.69363
0.00294,-2.68195
0.00295,-2.67012
0.00296,-2.65814
0.00297,-2.64601
0.00298,-2.63374
